modulename|scope|audience|name|description|extra|currentvalue
sgnd-definitions.sh|framework|system|SGND_SYSCFG_DIR|Framework-wide system configuration directory||/home/sysadmin/dev/SolidGroundUX/target-root/etc/solidgroundux
sgnd-definitions.sh|framework|system|SGND_DOCS_DIR|Framework-wide documentation directory||/home/sysadmin/dev/SolidGroundUX/target-root/usr/local/share/doc/solidgroundux
sgnd-definitions.sh|framework|both|SGND_CONSOLE_LOG_LEVEL|Controls console message visibility. Supported values are silent, quiet, normal, verbose, debug, and trace.||verbose
sgnd-definitions.sh|framework|both|SGND_FILE_LOG_LEVEL|Controls file message visibility. Supported values are silent, quiet, normal, verbose, debug, and trace.||normal
sgnd-definitions.sh|framework|system|SGND_LOG_PATH|Primary log file or directory path||/home/sysadmin/dev/SolidGroundUX/target-root/var/log/solidgroundux.log
sgnd-definitions.sh|framework|both|SGND_ALTLOG_PATH|Alternate log path override||/home/sysadmin/.log/solidgroundux.log
sgnd-definitions.sh|framework|system|SGND_LOG_MAX_BYTES|Maximum log file size before rotation||26214400
sgnd-definitions.sh|framework|system|SGND_LOG_KEEP|Number of rotated log files to retain||20
sgnd-definitions.sh|framework|system|SGND_LOG_COMPRESS|Compress rotated log files||1
sgnd-definitions.sh|framework|user|SGND_STATE_DIR|User-specific persistent state directory||/home/sysadmin/.state/solidgroundux
sgnd-definitions.sh|framework|user|SGND_USRCFG_DIR|User-specific configuration directory||/home/sysadmin/.config/solidgroundux
sgnd-definitions.sh|framework|both|SGND_UI_STYLE|Default UI style file (basename or path)||22-style-redalert.sh
sgnd-definitions.sh|framework|both|SGND_UI_PALETTE|Default UI palette file (basename or path)||default-ui-palette.sh
sgnd-definitions.sh|framework|user|SAY_COLORIZE_DEFAULT|Default colorized console output setting||label
sgnd-definitions.sh|framework|user|SAY_DATE_DEFAULT|Default timestamp visibility||0
sgnd-definitions.sh|framework|user|SAY_SHOW_DEFAULT|Default console message visibility||label
sgnd-definitions.sh|framework|user|SAY_DATE_FORMAT|Default date/time format for console output||%Y-%m-%d %H:%M:%S
sgnd-definitions.sh|framework|both|SGND_CONSOLE_WIDTH|Prefered standard console width||80
