file|name|title|type|purpose|version|build|checksum|group|subgroup|product
/srv/storage/development/SolidGroundUX/target-root/var/lib/solidgroundux/deployment_preface.sh|deployment_preface.sh|Deployment and Release Management|documentation|Describe the SolidGroundUX deployment and release-management workflow|2.1|2624123|2241f46bb94f5015f9676caf34eda9a05357b60210261819c5b433e36d279ab7|Deployment||SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/var/lib/solidgroundux/release-manager.sh|release-manager.sh|Release Manager|script|Standalone SolidGroundUX/project package acquisition, installation, rollback, and removal.|2.1|2625500|1e81e99f8872a12cf760f98694a3df8777713cb44a4ec6200f0c2cee3cf86e94|Deployment||SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/publish-web-content.sh|publish-web-content.sh|Publish Web Content|script|Publish local, remote, Git, and SolidGroundUX documentation content|2.1|2625722|1e81e99f8872a12cf760f98694a3df8777713cb44a4ec6200f0c2cee3cf86e94|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/normalize-canon.sh|normalize-canon.sh|Canonical Structure Normalizer|script|Replace canonical bootstrap and library-guard structures in shell files.|2.1|2624123|7ed0ee2c1b287a207a6bf3fc3e3bba3257eb8105468610f9fe05e30feaf6b01c|SDK|Development|SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/manage-sqlserver.sh|manage-sqlserver.sh|Manage SQL Server|script|Install, configure, manage, validate, and inspect Microsoft SQL Server|2.1|2625801|7ed0ee2c1b287a207a6bf3fc3e3bba3257eb8105468610f9fe05e30feaf6b01c|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/prepare-release.sh|prepare-release.sh|Prepare Release|script|Prepare framework scripts for release|2.1|2624123|bb0c8d27e76c067497b4833f0ffca225ec0f3fc07adffadf0432c682a63ef12e|SDK||SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/manage-active-directory-server.sh|manage-active-directory-server.sh|Manage Active Directory Server|script|Provision, validate, and inspect a Samba Active Directory domain controller|2.1|2625721|bb0c8d27e76c067497b4833f0ffca225ec0f3fc07adffadf0432c682a63ef12e|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/tar-it.sh|tar-it.sh|Tar It|script|Create a timestamped archive of a SolidGroundUX framework tree|2.1|2624021|9113b9dec022383734886b895ebadb76460fc1f1192a515a7d19f8dc93d3694f|SDK||SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/untar-it.sh|untar-it.sh|Untar It|script|Restore selected files from a SolidGroundUX framework archive|2.1|2624021|27a6bcf472467aecc1c4bb015f3718367b57892358b9ffb9a942bd51faba04f4|SDK||SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/solidground console_preface.sh|solidground console_preface.sh|SolidGround Management Console|documentation|Describe the SolidGround Management Console architecture and module contract|2.1|2624123|9d83865ca4d152cdd0cf3fd51d7bfec89cfa3a11312fd7e35baaa98462df716a|SolidGround Console||SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/manage-web-server.sh|manage-web-server.sh|Manage Web Server|script|Configure, manage, validate, and inspect an Nginx web server|2.1|2625722|9d83865ca4d152cdd0cf3fd51d7bfec89cfa3a11312fd7e35baaa98462df716a|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/manage-docker-containers.sh|manage-docker-containers.sh|Manage Docker Containers|script|Create and manage Docker containers and images|2.1|2625802|9d83865ca4d152cdd0cf3fd51d7bfec89cfa3a11312fd7e35baaa98462df716a|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/deploy-workspace.sh|deploy-workspace.sh|Deploy Workspace|script|Select workspace files and deploy them through receive-files.sh|2.1|2624123|9906ab97eab07bdc9b6672e3456bdc67eba32fb58ee3256274dbe5f9639546b1|SDK||SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/prepare-template.sh|prepare-template.sh|Executable Script Template|script|Prepares a VM for conversion to a reusable clone template.|2.1|2624021|d86b7bef506fe9f9c57ead361851f936fc1b8fc1428307691eb6e19fecce5a16|SolidGround Console||SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/manage-active-directory-client.sh|manage-active-directory-client.sh|Manage Active Directory Client|script|Join, reconcile, validate, and inspect an Active Directory client|2.1|2625721|d86b7bef506fe9f9c57ead361851f936fc1b8fc1428307691eb6e19fecce5a16|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/framework-smoketest.sh|framework-smoketest.sh|Framework Smoke Test and Validation|script|Validate the framework and exercise its interactive UI helpers|2.1|2625721|d86b7bef506fe9f9c57ead361851f936fc1b8fc1428307691eb6e19fecce5a16|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/manage-docker-server.sh|manage-docker-server.sh|Manage Docker Server|script|Install, configure, validate, and inspect a Docker host|2.1|2625802|d86b7bef506fe9f9c57ead361851f936fc1b8fc1428307691eb6e19fecce5a16|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/doc-generator.sh|doc-generator.sh|Documentation Generator Script|script|Collect and prepare documentation data from source files using the SolidGroundUX framework.|2.1|2624102|2dc2a288ae2f2ed890fff4879294aa6847d4c8fe8e0daeb5dd84707e1022b22f|SDK|Documentation Generator|SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/manage-solidgroundux.sh|manage-solidgroundux.sh|Manage SolidGroundUX|script|Apply persistent SolidGroundUX framework management actions|2.1|2624123|2dc2a288ae2f2ed890fff4879294aa6847d4c8fe8e0daeb5dd84707e1022b22f|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/create-wrappers.sh|create-wrappers.sh|Create Wrappers|script|Create framework-relative command wrappers for SolidGroundUX scripts.|2.1|2624123|02d4ac758b6dcad45dbf09c6d7786b9bf982f041bb6e1edae1abbacbfe4972d9|SDK||SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/create-workspace.sh|create-workspace.sh|Create Workspace|script|Create a new development workspace from templates|2.1|2624123|059aea9241dc8ad5abee684b4622b0856ab406f9db0d65ebfaf1b0288658b3ea|SDK||SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/manage-active-directory.sh|manage-active-directory.sh|Manage Active Directory|script|Manage Samba Active Directory users, groups, memberships, and computers|2.1|2625721|059aea9241dc8ad5abee684b4622b0856ab406f9db0d65ebfaf1b0288658b3ea|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/manage-samba-file-server.sh|manage-samba-file-server.sh|Manage Samba File Server|script|Prepare, validate, and inspect the Samba file-server service|2.1|2624123|059aea9241dc8ad5abee684b4622b0856ab406f9db0d65ebfaf1b0288658b3ea|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/console-modules/40-solidgroundux.sh|40-solidgroundux.sh|SolidGroundUX|module|Manage the SolidGroundUX framework and release lifecycle|2.1|2624123|f0226399b8e8fec81db6596957b38d79b09960986a2e8398cc107e53cc5ccf2f|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/console-modules/50-web-server.sh|50-web-server.sh|Web Server|module|Install, configure, manage, validate, and inspect an Nginx web server|2.1|2625722|f0226399b8e8fec81db6596957b38d79b09960986a2e8398cc107e53cc5ccf2f|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/console-modules/27-active-directory-management.sh|27-active-directory-management.sh|Active Directory Management|module|Register Active Directory object-management actions|2.1|2625721|f0226399b8e8fec81db6596957b38d79b09960986a2e8398cc107e53cc5ccf2f|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/console-modules/60-sqlserver.sh|60-sqlserver.sh|SQL Server|module|Install, configure, manage, validate, and inspect Microsoft SQL Server|2.1|2625801|f0226399b8e8fec81db6596957b38d79b09960986a2e8398cc107e53cc5ccf2f|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/console-modules/70-docker-server.sh|70-docker-server.sh|Docker Server|module|Install, configure, manage, validate, and inspect a Docker host and its containers|2.1|2625802|f0226399b8e8fec81db6596957b38d79b09960986a2e8398cc107e53cc5ccf2f|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/console-modules/90-development.sh|90-development.sh|Development|module|Provide SolidGroundUX workspace, deployment, release, and documentation tools|2.1|2624123|cc73f75364cbeb76ac1284e26f4afb113d96c6f4d6a6fe63ff07bfaf97e81def|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/console-modules/10-computer-setup.sh|10-computer-setup.sh|Computer Setup|module|Configure and validate the base computer|2.1|2624123|777bbe54b0ccf2962f682734ae12b49f62543ad3971608b804ee6950802b31e7|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/console-modules/45-solidground-framework-test.sh|45-solidground-framework-test.sh|SolidGround Framework Test|module|Register SolidGroundUX framework test and validation actions|2.1|2624123|777bbe54b0ccf2962f682734ae12b49f62543ad3971608b804ee6950802b31e7|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/console-modules/30-samba-file-server.sh|30-samba-file-server.sh|Samba File Server|module|Register and orchestrate Samba file-server management actions|2.1|2624123|777bbe54b0ccf2962f682734ae12b49f62543ad3971608b804ee6950802b31e7|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/console-modules/25-active-directory-client.sh|25-active-directory-client.sh|Active Directory Client|module|Register Active Directory client management actions|2.1|2625721|777bbe54b0ccf2962f682734ae12b49f62543ad3971608b804ee6950802b31e7|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/console-modules/20-active-directory-server.sh|20-active-directory-server.sh|Active Directory Server|module|Register Samba Active Directory server management actions|2.1|2624102|08eae622f9f542950ea2431dd34887a01a82ea2728dc8efbd03fb98aeaef6dfd|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/receive-files.sh|receive-files.sh|Receive Files|script|Receive a workspace tar stream and extract it beneath a target root|2.1|2624021|80ad4344c8837911fb64ea077df90b6b568dec8c27b7cfb23e31d71fddcbcb68|SDK||SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/set-identity.sh|set-identity.sh|Set Identity|script|Sets the hostname and IPv4 network configuration for a VM|2.1|2624021|24559d590ffe66ee3fd4e47564ff4dfc9b96d55bf24864fe1ba936e239aff644|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/manage-storage.sh|manage-storage.sh|Manage Storage|script|Configure, reconcile, validate, and inspect local storage volumes|2.1|2625721|24559d590ffe66ee3fd4e47564ff4dfc9b96d55bf24864fe1ba936e239aff644|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/libexec/solidgroundux/manage-samba-shares.sh|manage-samba-shares.sh|Manage Samba Shares|script|Manage Samba shares|2.1|2624123|1905470e6ef2f9e38f36ad94fea0dda1506bae38252c7d848cfc4fe61c1f191e|Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/SolidGroundUX/target-root/usr/local/lib/solidgroundux/templates/exe-template.sh|exe-template.sh|Executable Script Template|script|Canonical executable template for SolidGroundUX scripts.|2.1|2624021|ac001ae7201bac35d11a39fdcbf88f19d8bb55aa848037856d9e5d2bf1a88242|SDK|Templates|SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/lib/solidgroundux/templates/lib-template.sh|lib-template.sh|Library Template|library|Canonical template for source-only framework libraries|2.1|2624102|df9b5459f25d884c947a3fb03b4b87d8fe6cc671a8959454c8b9d4b784ff9214|SDK|Templates|SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/lib/solidgroundux/templates/templates_preface.sh|templates_preface.sh|Script templates |documentation|Group preface|2.1|2624123|9bd698057da84f826391b9ab8add3976abf5f9710601290b4891f3cb7574f275|SDK|Templates|SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/lib/solidgroundux/templates/mod-template.sh|mod-template.sh|Console Module Template|module|Canonical template for sgnd-console modules|2.1|2624102|d9225da61eb4ccc87ec2a1c10491859ce1e335acdc72213fbac6e927071178c1|SDK|Templates|SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/lib/solidgroundux/common/solidgroundux_epilogue.sh|solidgroundux_epilogue.sh|How to?|documentation|How to section|2.1|2624123|048859e89d49dd4ce8caf991b95c0f92779b8ef48b02b8f729fb730c81773169|SolidGroundUX||SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/lib/solidgroundux/common/sgnd-bootstrap.sh|sgnd-bootstrap.sh|Bootstrap Core|library|Initialize the SolidGroundUX framework and load core modules|2.1|2624123|7a92a82d196b8c60f93718c12bb00f46d277792c671f53b87000ae4e66a4a5db|Bootstrap||SolidGroundUX
/srv/storage/development/SolidGroundUX/target-root/usr/local/lib/solidgroundux/common/doc-processor.sh|doc-processor.sh|Document processor|library|Parse source files for structured comments and assemble normalized|2.1|2624123|399ab6caafc2b001dc793a16eb0cfd6055c543afdf33a118e40d0a02d9722deb|SDK|Documentation Generator|SolidGroundUX
