file|source_linenr|doc_linenr|section|parentsection|grandparentsection|stylehint|item|title|contenttype|content|contentref
release-manager.sh|3|1||||normal|||moduleheader|SolidGroundUX - Release Manager|release-manager.sh::::
release-manager.sh|15|2||||label|||modulebody|Description|release-manager.sh::::
release-manager.sh|16|3||||normal|||modulebody|  Provides a self-sufficient release manager for SolidGroundUX and compatible project packages.|release-manager.sh::::
release-manager.sh|17|4||||normal|||modulebody||release-manager.sh::::
release-manager.sh|18|5||||label|||modulebody|The script|release-manager.sh::::
release-manager.sh|19|6||||normal|||modulebody|    - Keeps SolidGroundUX release state in the legacy releases/archive locations|release-manager.sh::::
release-manager.sh|20|7||||normal|||modulebody|    - Keeps other project release state under /var/lib/solidgroundux/projects/<project>/|release-manager.sh::::
release-manager.sh|21|8||||normal|||modulebody|    - Reads release-package.info from incoming ZIPs to select the owning project|release-manager.sh::::
release-manager.sh|22|9||||normal|||modulebody|    - Installs a first release by verifying and extracting its complete tar archive|release-manager.sh::::
release-manager.sh|23|10||||normal|||modulebody|    - Updates an existing installation and applies the incoming .removed manifest|release-manager.sh::::
release-manager.sh|24|11||||normal|||modulebody|    - Rolls back by making the installed filesystem match a selected archived release|release-manager.sh::::
release-manager.sh|25|12||||normal|||modulebody|    - Removes the selected project while preserving release packages for later reinstall|release-manager.sh::::
release-manager.sh|26|13||||normal|||modulebody|    - Queries GitHub for the latest published release and downloads it only when needed|release-manager.sh::::
release-manager.sh|27|14||||normal|||modulebody|    - Bootstraps a clean machine from release-manager.sh plus an adjacent release bundle|release-manager.sh::::
release-manager.sh|28|15||||normal|||modulebody|    - Installs a canonical manager copy under /var/lib/solidgroundux for future recovery|release-manager.sh::::
release-manager.sh|29|16||||normal|||modulebody|    - Uses a small self-contained UI before SolidGroundUX is available|release-manager.sh::::
release-manager.sh|30|17||||normal|||modulebody|    - Reuses the normal SolidGroundUX UI primitives/theme when a healthy framework is available|release-manager.sh::::
release-manager.sh|31|18||||normal|||modulebody|    - Persists release-manager parameter values as standalone state|release-manager.sh::::
release-manager.sh|32|19||||normal|||modulebody||release-manager.sh::::
release-manager.sh|33|20||||label|||modulebody|Design principles|release-manager.sh::::
release-manager.sh|34|21||||normal|||modulebody|  - Standalone operation even when SolidGroundUX is absent or damaged|release-manager.sh::::
release-manager.sh|35|22||||normal|||modulebody|  - Filesystem-as-state per project: releases = available, archive = installed/history|release-manager.sh::::
release-manager.sh|36|23||||normal|||modulebody|  - Complete release archives; no incremental binary patching|release-manager.sh::::
release-manager.sh|37|24||||normal|||modulebody|  - Conservative removal: files/symlinks are removed, directories only when empty|release-manager.sh::::
release-manager.sh|38|25||||normal|||modulebody|  - Transactional acquisition through a temporary directory before release admission|release-manager.sh::::
release-manager.sh|39|26||||normal|||modulebody|  - Bootstrap cleanup is limited to known release-manager bundle files under /tmp|release-manager.sh::::
release-manager.sh|40|27||||normal|||modulebody||release-manager.sh::::
