modulename|section|parentsection|typecode|type|itemvisibility|itemrole|name|title
publish-web-content.sh|Bootstrap||fn|function|internal|template|_framework_locator|Resolve and load the active SolidGroundUX framework
publish-web-content.sh|Local declarations||fn|function|internal|normal|_web_server_storage_root|Resolve the configured SolidGroundUX storage root
publish-web-content.sh|Local declarations||fn|function|internal|normal|_web_server_root|Resolve the configured web content root
publish-web-content.sh|Local declarations||fn|function|internal|normal|_web_server_installed_docs_root|Resolve the installed SolidGroundUX documentation path
publish-web-content.sh|Local declarations||fn|function|internal|normal|_web_server_site_document_root|Resolve the document root for an Nginx site
publish-web-content.sh|Local declarations||fn|function|internal|normal|_web_server_remove_document_content|Remove all content below a document root
publish-web-content.sh|Local declarations||fn|function|internal|normal|_web_server_ensure_directory|Create and prepare a web content directory when needed
publish-web-content.sh|Local declarations||fn|function|internal|normal|_web_server_publish_key|Return the dedicated SolidGroundUX publishing key path
publish-web-content.sh|Local declarations||fn|function|internal|normal|_web_server_remote_access_ready|Test passwordless SSH publishing access
publish-web-content.sh|Local declarations||fn|function|internal|normal|_web_server_setup_remote_access|Configure dedicated passwordless SSH publishing access
publish-web-content.sh|Local declarations||fn|function|internal|normal|_web_server_publish_site|Publish local or remote content into a site document root
publish-web-content.sh|Local declarations||fn|function|internal|normal|_web_server_publish_documentation|Publish SolidGroundUX documentation
manage-sqlserver.sh|Bootstrap||fn|function|internal|template|_framework_locator|Resolve and load the active SolidGroundUX framework
manage-sqlserver.sh|Internal helpers||fn|function|internal|normal|_sqlserver_ubuntu_version|Return the supported Ubuntu version
manage-sqlserver.sh|Internal helpers||fn|function|internal|normal|_sqlserver_validate_port|Validate a TCP port number
manage-sqlserver.sh|Internal helpers||fn|function|internal|normal|_sqlserver_engine_installed|Test whether SQL Server is installed
manage-sqlserver.sh|Internal helpers||fn|function|internal|normal|_sqlserver_tools_installed|Test whether sqlcmd tools are installed
manage-sqlserver.sh|Internal helpers||fn|function|internal|normal|_sqlserver_conf_get|Read one persisted SQL Server setting
manage-sqlserver.sh|Internal helpers||fn|function|internal|normal|_sqlserver_tcp_port|Return the effective SQL Server TCP port
manage-sqlserver.sh|Internal helpers||fn|function|internal|normal|_sqlserver_storage_root|Resolve the configured SolidGroundUX storage root
manage-sqlserver.sh|Internal helpers||fn|function|internal|normal|_sqlserver_select_directory|Select or enter a SQL Server storage directory
manage-sqlserver.sh|Internal helpers||fn|function|internal|normal|_sqlserver_ensure_directory|Create and prepare a SQL Server storage directory
manage-sqlserver.sh|Internal helpers||fn|function|internal|normal|_sqlserver_apply_conf|Set one mssql-conf value
manage-sqlserver.sh|Internal helpers||fn|function|internal|normal|_sqlserver_restart_if_active|Restart SQL Server when it is currently active
manage-sqlserver.sh|Role preparation||fn|function|internal|normal|_sqlserver_step_repository|Configure Microsoft SQL Server repositories
manage-sqlserver.sh|Role preparation||fn|function|internal|normal|_sqlserver_step_install_engine|Install Microsoft SQL Server 2025
manage-sqlserver.sh|Role preparation||fn|function|internal|normal|_sqlserver_step_configure|Run the canonical mssql-conf setup workflow
manage-sqlserver.sh|Role preparation||fn|function|internal|normal|_sqlserver_step_install_tools|Install sqlcmd and bcp tools
manage-sqlserver.sh|Role preparation||fn|function|internal|normal|_sqlserver_prepare|Run the tracked SQL Server preparation workflow
manage-sqlserver.sh|Configuration||fn|function|internal|normal|_sqlserver_configure_storage|Configure SQL data, log, and backup directories
manage-sqlserver.sh|Configuration||fn|function|internal|normal|_sqlserver_configure_network|Configure the SQL Server TCP port
manage-sqlserver.sh|Configuration||fn|function|internal|normal|_sqlserver_configure_memory|Configure the SQL Server memory limit
manage-sqlserver.sh|Configuration||fn|function|internal|normal|_sqlserver_manage_service|Manage SQL Server service state and startup behavior
manage-sqlserver.sh|Configuration||fn|function|internal|normal|_sqlserver_configure_firewall|Allow the configured SQL Server port through UFW
manage-sqlserver.sh|Status / validation||fn|function|internal|normal|_sqlserver_status|Show SQL Server status and effective configuration
manage-sqlserver.sh|Status / validation||fn|function|internal|normal|_sqlserver_validate|Validate the SQL Server role
manage-active-directory-server.sh|Bootstrap||fn|function|internal|template|_framework_locator|Resolve and load the active SolidGroundUX framework
manage-active-directory-server.sh|Provisioning context||fn|function|internal|normal|_adsvr_collect_context|
manage-active-directory-server.sh|Provisioning context||fn|function|internal|normal|_adsvr_load_context|
manage-active-directory-server.sh|Provisioning context||fn|function|internal|normal|_adsvr_require_context|
manage-active-directory-server.sh|Helpers||fn|function|internal|normal|_adsvr_prepare_hosts|
