file|name|title|type|purpose|version|build|checksum|group|subgroup|product
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/publish-web-content.sh|publish-web-content.sh|Publish Web Content|script|Publish local, remote, Git, and SolidGroundUX documentation content|1.1|2625822||Console Actions||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/manage-sqlserver.sh|manage-sqlserver.sh|Manage SQL Server|script|Install, configure, manage, validate, and inspect Microsoft SQL Server|1.1|2625822||Console Actions||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/manage-active-directory-server.sh|manage-active-directory-server.sh|Manage Active Directory Server|script|Provision, validate, and inspect a Samba Active Directory domain controller|1.1|2625822|a79143cce76b638a31e0b2ab40c73700a6e171a85726d3fc1b1fd7a113ec7b9e|Console Actions||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/manage-web-server.sh|manage-web-server.sh|Manage Web Server|script|Configure, manage, validate, and inspect an Nginx web server|1.1|2625822|a79143cce76b638a31e0b2ab40c73700a6e171a85726d3fc1b1fd7a113ec7b9e|Console Actions||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/manage-docker-containers.sh|manage-docker-containers.sh|Manage Docker Containers|script|Create and manage Docker containers and images|1.1|2625822|53bf2fa5b69f7ad05cbe42c96c20d098078675a2038ed1f1428a0191abbdbe1e|Console Actions||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/manage-active-directory-client.sh|manage-active-directory-client.sh|Manage Active Directory Client|script|Join, reconcile, validate, and inspect an Active Directory client|1.1|2625822|3fd183d40515ca1b5cd42b5c0d866e581e03e3a3ddd676f38ca520056d139f1e|Console Actions||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/framework-smoketest.sh|framework-smoketest.sh|Framework Smoke Test and Validation|script|Validate the framework and exercise its interactive UI helpers|1.1|2625822|a4c62c151180f4d1944bd5b0dc6e12db2e0f84e16583cf52dd2d247d2b1236c5|Console Actions||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/manage-docker-server.sh|manage-docker-server.sh|Manage Docker Server|script|Install, configure, validate, and inspect a Docker host|1.1|2625822|07bd139f27354b029fcf3890ff3b981f0aa4656164124e04c4413fef4303ae91|Console Actions||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/manage-solidgroundux.sh|manage-solidgroundux.sh|Manage SolidGroundUX|script|Apply persistent SolidGroundUX framework management actions|1.1|2625822|526007297199baec3d33006a06514275ea3a4d2e175072a5431d7dd0a48fef85|Console Actions||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/manage-active-directory.sh|manage-active-directory.sh|Manage Active Directory|script|Manage Samba Active Directory users, groups, memberships, and computers|1.1|2625822|5ecd39a48fd4f99c17de631c32bf03899aea467803b543b6bce0a977fd49af3e|Console Actions||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/manage-samba-file-server.sh|manage-samba-file-server.sh|Manage Samba File Server|script|Prepare, validate, and inspect the Samba file-server service|1.1|2625822|36ac2a9313816a18472b690b269aa2cf6ea302258c6c9bd22659006510846ff1|Console Actions||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/console-modules/management-console-modules_preface.sh|management-console-modules_preface.sh|Console Modules Introduction|documentation template|Documentation preface/epilogue template for SolidGroundUX framework.|2.1|2625813|-|SolidGroundUX Management Console Modules||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/console-modules/40-solidgroundux.sh|40-solidgroundux.sh|SolidGroundUX|module|Manage the SolidGroundUX framework and release lifecycle|1.1|2625822|9fa9c97452a3dc84f9efc4fcb2d37d1ad42d7132eeb4855e0c0a70a040949577|Module Registration||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/console-modules/50-web-server.sh|50-web-server.sh|Web Server|module|Install, configure, manage, validate, and inspect an Nginx web server|1.1|2625822|e617bab88e49c3223127b556e44daa4bc0379ed2e14b42e613f3c8dc837b747d|Module Registration||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/console-modules/27-active-directory-management.sh|27-active-directory-management.sh|Active Directory Management|module|Register Active Directory object-management actions|1.1|2625822|b974862ac5a045a9a8963ed116c9abdb9b5c331c531e98262bbd0fec4384260a|Module Registration||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/console-modules/60-sqlserver.sh|60-sqlserver.sh|SQL Server|module|Install, configure, manage, validate, and inspect Microsoft SQL Server|1.1|2625822|bf08d4ddf47d3a66d1f6080f2ebca4f2aeedb0e166649130f422cdf0bcd9526e|Module Registration||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/console-modules/70-docker-server.sh|70-docker-server.sh|Docker Server|module|Install, configure, manage, validate, and inspect a Docker host and its containers|1.1|2625822|3f579f686090026e1afd06995f6ab16dabbbbccae974f6192ed5b5ff7d742df1|Module Registration||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/console-modules/90-development.sh|90-development.sh|Development|module|Provide SolidGroundUX workspace, deployment, release, and documentation tools|1.1|2625822|d4897cecd8a4dd05216c2cf44d3690be62735b5456938c28c820aedc45bc18d8|Module Registration||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/console-modules/15-storage.sh|15-storage.sh|Storage|module|Configure and inspect local storage volumes|1.1|2625822|abe5823f45d8589933b871691076f78db8053a637a25bf909e7fcd6923f88432|Module Registration||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/console-modules/10-computer-setup.sh|10-computer-setup.sh|Computer Setup|module|Configure and validate the base computer|1.1|2625822|fa29201a01208bb0ebe2027e643252c20d36590cb0f586515d44891a08931063|Module Registration||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/console-modules/45-solidground-framework-test.sh|45-solidground-framework-test.sh|SolidGround Framework Test|module|Register SolidGroundUX framework test and validation actions|1.1|2625822|d652f54935eeaf507ebaea5304389c925a0ac9192b1be5a0ef187253a52fe6a7|Module Registration||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/console-modules/30-samba-file-server.sh|30-samba-file-server.sh|Samba File Server|module|Register and orchestrate Samba file-server management actions|1.1|2625822|c91745569dffe470ed7ee7a3deab0cf3efb6a028ec48d8ff3b0ae8188afa4470|Module Registration||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/console-modules/25-active-directory-client.sh|25-active-directory-client.sh|Active Directory Client|module|Register Active Directory client management actions|1.1|2625822|7b68465f1ade08cb4d9e67847b995ccc2b50d1b47ccec99b9766128772ec756a|Module Registration||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/console-modules/20-active-directory-server.sh|20-active-directory-server.sh|Active Directory Server|module|Register Samba Active Directory server management actions|1.1|2625822|afb2d509827f17f17c5820aab89822c9686a827da1181815d1ae5dacfff6a4a2|Module Registration||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/set-identity.sh|set-identity.sh|Set Identity|script|Sets the hostname and IPv4 network configuration for a VM|1.1|2625822|7e937fdbf09f33cf4d6a16dd21e9780acbb0a3a5710f1e65c1e42ba42b278798|Console Actions||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/manage-storage.sh|manage-storage.sh|Manage Storage|script|Configure, reconcile, validate, and inspect local storage volumes|1.1|2625822|ef5e6906d4189c70c9d32380ccc5b4db168f7426a7e781a3f58e39cf5ccb85dc|Console Actions||SolidGroundUX Management Console Modules
/srv/storage/development/solidgrond-management-modules/target-root/usr/local/libexec/solidgroundux/manage-samba-shares.sh|manage-samba-shares.sh|Manage Samba Shares|script|Manage Samba shares|1.1|2625822|12b60f7c51c361c1e3ea52e4c92acbf4db409766d07950a96f17d317ddad4fd8|Console Actions||SolidGroundUX Management Console Modules
