file|name|title|type|purpose|version|build|checksum|group|subgroup|product
/srv/storage/development/solidgroundux/target-root/var/lib/solidgroundux/release-manager.sh|release-manager.sh|Release Manager|script|Standalone SolidGroundUX/project package acquisition, installation, rollback, and removal.|2.1|2626501|6468a997e2e5d43262a9e6f3b404f5f7f2ac00dbfa0ad3911e0f0a8eff16d202|Deployment||SolidGroundUX
/srv/storage/development/solidgroundux/target-root/usr/local/libexec/solidgroundux/tar-it.sh|tar-it.sh|Tar It|script|Create a timestamped archive of a SolidGroundUX framework tree|2.1|2626501|4b6e310a85125ddb93cc25072c551def5896453fd56f25e26cfc32fd2bcbd328|Common Core||SolidGroundUX
/srv/storage/development/solidgroundux/target-root/usr/local/libexec/solidgroundux/untar-it.sh|untar-it.sh|Untar It|script|Restore selected files from a SolidGroundUX framework archive|2.1|2626501|4e96599eae431a48b6d8bb7fa08cbdc56c8a534bef887e9ac48a3321297b7bb4|Common Core||SolidGroundUX
/srv/storage/development/solidgroundux/target-root/usr/local/share/doc-sources/sux-deployment_preface.sh|sux-deployment_preface.sh|Deployment and Release Management|documentation|Group preface|2.1|2626414|ac64a43bbe8db60ec5f3271bccc07c192806e2413fbf7104c5b79023249ff7b2|Deployment||SolidGroundUX
/srv/storage/development/solidgroundux/target-root/usr/local/share/doc-sources/sux_preface.sh|sux_preface.sh|Framework Introduction|documentation|Product preface|2.1|2626414|33c658c985319b8257ae54fa7f47d77366fbb0f4b6c511810557214fa2f5105f|SolidGroundUX||SolidGroundUX
/srv/storage/development/solidgroundux/target-root/usr/local/share/doc-sources/sux-common-core_preface.sh|sux-common-core_preface.sh|Framework Services Overview|documentation|Group preface|2.1|2626414|38df563b31b1ebd0741cbd709216b09d812943d78362da7de33ed7f935edb404|Common Core||SolidGroundUX
/srv/storage/development/solidgroundux/target-root/usr/local/share/doc-sources/sux-ui_preface.sh|sux-ui_preface.sh|UI Framework|documentation|Group preface|2.1|2626414|d8d32e150e2fc71b5fd8cb2753d02522f5e2c819f50955a2f2ecd0d31383a69f|UI||SolidGroundUX
/srv/storage/development/solidgroundux/target-root/usr/local/share/doc-sources/sux_epilogue.sh|sux_epilogue.sh|How to?|documentation|Product epilogue|2.1|2626414|8fee16c9b838724189708c2144ba91207a5701ddd34cefc5693c33f96981db77|SolidGroundUX||SolidGroundUX
/srv/storage/development/solidgroundux/target-root/usr/local/share/doc-sources/sux-bootstrap_preface.sh|sux-bootstrap_preface.sh|Bootstrap Sequence|documentation|Group preface|2.1|2626414|15a1410f5d88f8b19b5169fad632785838ebe071d9b942ca7aeb3b1e85713b49|Bootstrap||SolidGroundUX
/srv/storage/development/solidgroundux/target-root/usr/local/lib/solidgroundux/common/sgnd-bootstrap.sh|sgnd-bootstrap.sh|Bootstrap Core|library|Initialize the SolidGroundUX framework and load core modules|2.1|2626501|d7378750c490e4e9016536bd4594165fab4027799d990e1dec3f01c941d61e6d|Bootstrap||SolidGroundUX
/srv/storage/development/solidgroundux/target-root/usr/local/lib/solidgroundux/common/ui-ask.sh|ui-ask.sh|UI Ask|library|Provide interactive prompting and lightweight dialog utilities|2.1|2626414|1b67927682d37294c02b4695b1f31dbbfb7adb02cdc218b8c2b5f0534728013f|UI||SolidGroundUX
/srv/storage/development/solidgroundux/target-root/usr/local/lib/solidgroundux/common/ui.sh|ui.sh|UI Rendering|library|Provide terminal rendering utilities for styled console output|2.1|2626414|88b9076342bf9db3afafd32aec03a07dc90261e709610f290d5a73c691c9d3eb|UI||SolidGroundUX
